Trial,StartTime,Duration,Frequency,dB_SPL
255,210.71435,0.1,12095.242,40
256,211.4147,0.1,476.22,40
257,212.21565,0.1,1511.905,40
258,213.0223,0.1,238.11,40
259,213.91565,0.1,150,40
260,214.72675,0.1,188.988,40
261,215.515,0.1,300,40
262,216.3166,0.1,4800,40
263,217.2207,0.1,1904.881,40
264,217.9244,0.1,952.441,40
265,218.8255,0.1,12095.242,70
266,219.6288,0.1,19200,70
267,220.517,0.1,7619.525,70
268,221.31705,0.1,377.976,70
269,222.12105,0.1,1511.905,70
270,222.8212,0.1,9600,70
271,223.62825,0.1,3023.811,70
272,224.5213,0.1,150,70
273,225.21635,0.1,1200,70
274,226.0189,0.1,755.953,70
275,226.9349,0.1,188.988,70
276,227.6167,0.1,600,70
277,228.5177,0.1,15239.05,70
278,229.41705,0.1,2400,70
279,230.1172,0.1,1904.881,70
280,230.8167,0.1,238.11,70
281,231.7169,0.1,476.22,70
282,232.62185,0.1,3809.763,70
283,233.421,0.1,952.441,70
284,234.3168,0.1,300,70
285,235.02555,0.1,6047.621,70
286,235.91755,0.1,4800,70
287,236.61735,0.1,300,60
288,237.41835,0.1,1200,60
289,238.11885,0.1,1511.905,60
290,239.01955,0.1,1904.881,60
291,239.81775,0.1,238.11,60
292,240.7187,0.1,150,60
293,241.6178,0.1,9600,60
294,242.3231,0.1,12095.242,60
295,243.2267,0.1,3023.811,60
296,244.03095,0.1,476.22,60
297,244.91975,0.1,952.441,60
298,245.8182,0.1,755.953,60
299,246.71765,0.1,188.988,60
300,247.4316,0.1,7619.525,60
301,248.21885,0.1,15239.05,60
302,249.01965,0.1,2400,60
303,249.92825,0.1,377.976,60
304,250.8265,0.1,19200,60
305,251.71835,0.1,600,60
306,252.5236,0.1,3809.763,60
307,253.31875,0.1,4800,60
308,254.22775,0.1,6047.621,60
309,254.92725,0.1,15239.05,50
310,255.8192,0.1,7619.525,50
311,256.6244,0.1,19200,50
312,257.32015,0.1,3023.811,50
313,258.224,0.1,4800,50
314,258.9251,0.1,3809.763,50
315,259.61935,0.1,2400,50
316,260.42395,0.1,300,50
317,261.1236,0.1,755.953,50
318,261.81955,0.1,238.11,50
319,262.6195,0.1,6047.621,50
320,263.4198,0.1,1904.881,50
321,264.2234,0.1,1511.905,50
322,265.0192,0.1,377.976,50
323,265.7258,0.1,12095.242,50
324,266.42525,0.1,600,50
325,267.12295,0.1,952.441,50
326,267.82835,0.1,150,50
327,268.72065,0.1,188.988,50
328,269.42175,0.1,476.22,50
329,270.3284,0.1,9600,50
330,271.2308,0.1,1200,50
331,272.12245,0.1,150,40
332,273.0209,0.1,476.22,40
333,273.7203,0.1,3023.811,40
334,274.4287,0.1,952.441,40
335,275.2242,0.1,755.953,40
336,275.92395,0.1,238.11,40
337,276.81995,0.1,600,40
338,277.7307,0.1,1200,40
339,278.5202,0.1,300,40
340,279.22695,0.1,9600,40
341,280.1214,0.1,2400,40
342,280.8207,0.1,4800,40
343,281.62065,0.1,19200,40
344,282.42055,0.1,1904.881,40
345,283.2259,0.1,188.988,40
346,284.2359,0.1,7619.525,40
347,285.12125,0.1,377.976,40
348,286.02715,0.1,15239.05,40
349,286.7273,0.1,6047.621,40
350,287.53845,0.1,12095.242,40
351,288.2326,0.1,1511.905,40
352,289.12995,0.1,3809.763,40
353,289.92135,0.1,9600,70
354,290.6467,0.1,1511.905,70
355,291.4225,0.1,188.988,70
356,292.3367,0.1,3023.811,70
357,293.2229,0.1,476.22,70
358,294.12175,0.1,238.11,70
359,294.92525,0.1,150,70
360,295.7237,0.1,19200,70
361,296.6268,0.1,4800,70
362,297.42645,0.1,600,70
363,298.3272,0.1,3809.763,70
364,299.0218,0.1,300,70
365,299.8266,0.1,6047.621,70
366,300.62415,0.1,952.441,70
367,301.52195,0.1,2400,70
368,302.2221,0.1,7619.525,70
369,303.0235,0.1,12095.242,70
370,303.83065,0.1,1904.881,70
371,304.5253,0.1,377.976,70
372,305.42775,0.1,15239.05,70
373,306.3289,0.1,755.953,70
374,307.12295,0.1,1200,70
375,308.023,0.1,3023.811,60
376,308.7298,0.1,300,60
377,309.52305,0.1,377.976,60
378,310.225,0.1,755.953,60
379,311.02305,0.1,6047.621,60
380,311.927,0.1,600,60
381,312.62905,0.1,238.11,60
382,313.3242,0.1,476.22,60
383,314.12335,0.1,1904.881,60
384,314.837,0.1,150,60
385,315.72725,0.1,15239.05,60
386,316.6335,0.1,3809.763,60
387,317.3374,0.1,1200,60
388,318.0238,0.1,9600,60
389,318.8322,0.1,19200,60
390,319.64105,0.1,4800,60
391,320.62455,0.1,12095.242,60
392,321.5257,0.1,7619.525,60
393,322.3247,0.1,952.441,60
394,323.22815,0.1,2400,60
395,324.0371,0.1,1511.905,60
396,324.8355,0.1,188.988,60
397,325.7328,0.1,377.976,50
398,326.52525,0.1,7619.525,50
399,327.42685,0.1,238.11,50
400,328.3299,0.1,2400,50
401,329.15035,0.1,12095.242,50
402,330.03055,0.1,19200,50
403,330.9252,0.1,3023.811,50
404,331.62585,0.1,1904.881,50
405,332.42465,0.1,4800,50
406,333.327,0.1,3809.763,50
407,334.1404,0.1,952.441,50
408,335.0357,0.1,476.22,50
409,335.9421,0.1,9600,50
410,336.94785,0.1,600,50
411,337.82585,0.1,1200,50
412,338.5278,0.1,188.988,50
413,339.2272,0.1,755.953,50
414,340.0345,0.1,150,50
415,340.8271,0.1,300,50
416,341.73885,0.1,15239.05,50
417,342.62695,0.1,1511.905,50
418,343.42615,0.1,6047.621,50
419,344.2302,0.1,377.976,40
420,344.9286,0.1,1200,40
421,345.83575,0.1,600,40
422,346.6407,0.1,755.953,40
423,347.3379,0.1,952.441,40
424,348.23345,0.1,3023.811,40
425,349.0263,0.1,15239.05,40
426,349.7386,0.1,9600,40
427,350.62705,0.1,300,40
428,351.32625,0.1,476.22,40
429,352.03515,0.1,2400,40
430,352.7273,0.1,12095.242,40
431,353.42695,0.1,4800,40
432,354.1271,0.1,19200,40
433,354.93035,0.1,1511.905,40
434,355.63865,0.1,1904.881,40
435,356.327,0.1,3809.763,40
436,357.0349,0.1,150,40
437,357.93645,0.1,7619.525,40
438,358.73805,0.1,238.11,40
439,359.6328,0.1,6047.621,40
440,360.42705,0.1,188.988,40
441,361.3275,0.1,755.953,70
442,362.13645,0.1,3023.811,70
443,362.82795,0.1,952.441,70
444,363.7298,0.1,7619.525,70
445,364.6327,0.1,6047.621,70
446,365.4276,0.1,2400,70
447,366.228,0.1,9600,70
448,367.03175,0.1,300,70
449,367.73395,0.1,476.22,70
450,368.6283,0.1,19200,70
451,369.5554,0.1,150,70
452,370.4311,0.1,238.11,70
453,371.33815,0.1,1200,70
454,372.04175,0.1,1904.881,70
455,372.93465,0.1,4800,70
456,373.62785,0.1,188.988,70
457,374.3328,0.1,15239.05,70
458,375.03625,0.1,12095.242,70
459,375.7314,0.1,3809.763,70
460,376.5488,0.1,1511.905,70
461,377.22915,0.1,377.976,70
462,378.13795,0.1,600,70
463,379.04415,0.1,238.11,60
464,379.9517,0.1,1904.881,60
465,380.74005,0.1,19200,60
466,381.62975,0.1,600,60
467,382.54345,0.1,15239.05,60
468,383.3316,0.1,150,60
469,384.02885,0.1,377.976,60
470,384.9295,0.1,4800,60
471,385.52915,0.1,300,60
472,386.2367,0.1,12095.242,60
473,387.132,0.1,3023.811,60
474,387.9341,0.1,6047.621,60
475,388.63815,0.1,755.953,60
476,389.3449,0.1,952.441,60
477,390.23495,0.1,1200,60
478,390.9312,0.1,3809.763,60
479,391.6299,0.1,7619.525,60
480,392.54085,0.1,2400,60
481,393.3306,0.1,1511.905,60
482,394.1298,0.1,188.988,60
483,394.93745,0.1,476.22,60
484,395.84365,0.1,9600,60
485,396.53065,0.1,6047.621,50
486,397.33675,0.1,150,50
